"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1196","3.5939474649427323E+0","0.0000000000000000E+0","0.0000000000000000E+0","-3.9381627964570391E-14","-3.1943894705191731E+0","0.0000000000000000E+0","3.2695362049071974E+0","2.5178189776779593E+1","1.1160619882693322E+2","1.8668460140253536E+0","1.215058560962404E-2"
"1195","3.5940866634924498E+0","0.0000000000000000E+0","0.0000000000000000E+0","-5.4418426655475118E-14","-3.1945555332414988E+0","0.0000000000000000E+0","3.2694541574774565E+0","2.5178198292604183E+1","1.1160623657463552E+2","1.8672851937441550E+0","1.215058560962404E-2"
"1194","3.5942258619271232E+0","0.0000000000000000E+0","0.0000000000000000E+0","5.5855206807716814E-14","-3.1947215954340193E+0","0.0000000000000000E+0","3.2693720979083025E+0","2.5178206804256146E+1","1.1160627430384203E+2","1.8677244745614445E+0","1.215058560962404E-2"
"1193","3.5943650602470352E+0","0.0000000000000000E+0","0.0000000000000000E+0","3.6796311727953176E-15","-3.1948876570972491E+0","0.0000000000000000E+0","3.2692900261986679E+0","2.5178215311733858E+1","1.1160631201454551E+2","1.8681638564244163E+0","1.215058560962404E-2"
"1192","3.5945042584524649E+0","0.0000000000000000E+0","0.0000000000000000E+0","2.9747377348040204E-14","-3.1950537182317715E+0","0.0000000000000000E+0","3.2692079423470162E+0","2.5178223815034951E+1","1.1160634970673550E+2","1.8686033393197397E+0","1.215058560962404E-2"
"1191","3.5946434565433627E+0","0.0000000000000000E+0","0.0000000000000000E+0","-3.6947198130423954E-15","-3.1952197788377217E+0","0.0000000000000000E+0","3.2691258463523667E+0","2.5178232314158357E+1","1.1160638738040724E+2","1.8690429232345358E+0","1.215058560962404E-2"
"1190","3.5947826545201726E+0","0.0000000000000000E+0","0.0000000000000000E+0","-2.7017429187814463E-14","-3.1953858389158443E+0","0.0000000000000000E+0","3.2690437382133126E+0","2.5178240809101702E+1","1.1160642503555022E+2","1.8694826081253182E+0","1.215058560962404E-2"
"1189","3.5949218523830773E+0","0.0000000000000000E+0","0.0000000000000000E+0","-3.6234821602587713E-14","-3.1955518984665581E+0","0.0000000000000000E+0","3.2689616179286904E+0","2.5178249299863218E+1","1.1160646267215658E+2","1.8699223939837828E+0","1.215058560962404E-2"
"1188","3.5950610501322178E+0","0.0000000000000000E+0","0.0000000000000000E+0","-3.9322010047721195E-14","-3.1957179574902472E+0","0.0000000000000000E+0","3.2688794854972638E+0","2.5178257786441176E+1","1.1160650029021872E+2","1.8703622807422629E+0","1.215058560962404E-2"
"1187","3.5952002477677372E+0","0.0000000000000000E+0","0.0000000000000000E+0","-4.3757884474294671E-14","-3.1958840159873203E+0","0.0000000000000000E+0","3.2687973409176632E+0","2.5178266268833980E+1","1.1160653788972948E+2","1.8708022684574477E+0","1.215058560962404E-2"
