Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,0.487849413449431,0.552012645597036,0,-0.458970509585096,0.21938634831283776,0
0.004114238773438323,0.4859589501595079,0.5529163798959537,0,-0.4600146398591517,0.2199324046032199,0
0.012360522915970222,0.48215694204229825,0.5547344280575669,0,-0.46209734643653866,0.2209989096992612,0
0.020580430305802352,0.47835005973879396,0.5565552599760475,0,-0.46415944740517157,0.22202464100271152,0
0.028760978426116038,0.47454463610417547,0.5583755916117035,0,-0.46619716915299225,0.2230081795045033,0
0.03690295563663032,0.47074066380618873,0.5601951781880766,0,-0.4682102301323217,0.22394992587612303,0
0.045007181574977136,0.46693811544885094,0.5620137923729851,0,-0.4701983591860616,0.22485029114202612,0
0.05307447154651729,0.4631369601314861,0.5638312161711264,0,-0.47216128661988965,0.22570969179436606,0
0.06110562840421293,0.45933716740328195,0.5656472388483145,0,-0.4740987422787884,0.22652854863547067,0
0.06910145489788944,0.45553870156853404,0.5674616594720885,0,-0.47601045859279556,0.22730728780217618,0
0.07706273533768304,0.45174153051485466,0.569274282515799,0,-0.47789616622230796,0.2280463386858135,0
0.08499025179225768,0.44794561818058065,0.5710849212846993,0,-0.4797555980079597,0.22874613533591606,0
0.0928847787044959,0.444150927233574,0.5728933964653152,0,-0.4815884877093099,0.22940711567518549,0
0.10074707650521,0.440357422294754,0.5746995344250703,0,-0.48339456858581664,0.23002972079638326,0
0.10857789394409377,0.43656506900029945,0.5765031675039437,0,-0.48517357404265493,0.23061439507522632,0
0.1163779817630756,0.4327738275136857,0.5783041369435181,0,-0.4869252407764662,0.23116158700047693,0
0.1241480729940642,0.4289836622033583,0.5801022881322045,0,-0.4886493043404979,0.2316717475294536,0
0.13188889606178472,0.4251945354388502,0.5818974734090632,0,-0.49034550217042366,0.23214533091871992,0
0.13960116670474593,0.4214064116730237,0.5836895499854147,0,-0.49201357184375827,0.2325827940583191,0
0.14728559074998143,0.41761925624673857,0.5854783803785757,0,-0.49365325177797686,0.23298459657501008,0
0.15494287629767386,0.4138330295037767,0.5872638350547218,0,-0.4952642838491611,0.23335120130005613,0
0.16257371780470442,0.4100476947505861,0.589045788535012,0,-0.49684641000433716,0.23368307326505444,0
0.1701787927709865,0.4062632200869385,0.590824118421595,0,-0.49839937171944315,0.23398067959156135,0
0.17775877621635022,0.40247957136981316,0.5925987085934766,0,-0.49992291307605397,0.23424449005353576,0
0.18531433951965606,0.3986967128838177,0.594369448765103,0,-0.5014167804956906,0.2344749768281788,0
0.19284614048155124,0.3949146124368795,0.5961362319860992,0,-0.5028807208026547,0.23467261407498022,0
0.2003548387623312,0.3911332337454634,0.5978989580929648,0,-0.5043144842917407,0.23483787828065897,0
0.2078410698712204,0.3873525496475986,0.5996575274415115,0,-0.5057178197812797,0.23497124756929666,0
0.21530547653418478,0.38357252643751855,0.6014118481117938,0,-0.5070904806678503,0.23507320233544804,0
0.22274868751431795,0.3797931346560298,0.6031618307826675,0,-0.5084322209352553,0.23514422470892424,0
0.23017133049704339,0.37601434268903355,0.6049073916105961,0,-0.509742797576282,0.23518479866704747,0
0.23757402033410138,0.3722361228553364,0.6066484493214216,0,-0.5110219685192654,0.2351954098524142,0
0.24495737012280025,0.36845844588662113,0.6083849276756123,0,-0.5122694946382168,0.23517654557636056,0
0.25232199422294593,0.36468127946282153,0.6101167560416842,0,-0.5134851401953878,0.23512869463130237,0
0.25966850015785975,0.36090459244863904,0.6118438673576112,0,-0.5146686714409956,0.23505234717855084,0
0.26699747651694655,0.3571283612514693,0.6135661951588777,0,-0.515819854785826,0.2349479948970317,0
0.2743095116349103,0.3533525603499177,0.6152836778474249,0,-0.516938459921265,0.2348161307971862,0
0.28160519028001707,0.3495771640854738,0.6169962577918032,0,-0.5180242592585457,0.23465724913249048,0
0.28888508568696597,0.3458021508937025,0.6187038793411357,0,-0.5190770267866649,0.23447184551949216,0
0.2961497726915706,0.3420274966096095,0.6204064917955721,0,-0.5200965400528853,0.23426041658401878,0
0.3033998166529741,0.3382531803083634,0.6221040466979224,0,-0.521082578567545,0.23402346016055522,0
0.31063577704837325,0.33447918255265124,0.6237964985736624,0,-0.5220349243980551,0.2337614751766159,0
0.31785821684784255,0.3307054805947555,0.6254838070195408,0,-0.5229533633949667,0.23347496122358397,0
0.32506768066628544,0.3269320598836025,0.627165931498545,0,-0.5238376824077942,0.23316441933766918,0
0.3322647240169566,0.32315889887462684,0.6288428380772049,0,-0.5246876730157747,0.2328303507694412,0
0.33944989232118594,0.3193859800922159,0.6305144944281057,0,-0.5255031288729433,0.2324732577516459,0
0.34662372650270684,0.31561328730695326,0.6321808710484156,0,-0.5262838464652053,0.23209364323664303,0
0.35378676559647976,0.31184080425784816,0.6338419417784876,0,-0.5270296254119277,0.2316920106983415,0
0.36093954537336603,0.3080685154654559,0.6354976833957806,0,-0.5277402683093992,0.23126886413029435,0
0.3680825929970146,0.3042964091479507,0.6371480742990883,0,-0.5284155802499868,0.2308247083255991,0
0.37521643806180177,0.30052447149118855,0.6387930969841561,0,-0.5290553699292699,0.2303600481625114,0
0.38234160654945715,0.2967526899230893,0.640432736565174,0,-0.529659449027116,0.22987538888444783,0
0.38945862919145263,0.2929810487731893,0.6420669826200329,0,-0.5302276328819694,0.22937123544862476,0
0.39656801313161855,0.2892095443838711,0.6436958226136865,0,-0.530759738262029,0.2288480944904246,0
0.4036702866483158,0.28543816149670576,0.6453192520942583,0,-0.5312555869089955,0.2283064710794219,0
